Date,Open,High,Low,Close,ChangePct,AmplitudePct,Volume,Amount,TurnoverRate,TradeCount
2021-06-23,2181.63,2197.034,2163.238,2190.125,0.2,1.55,1841704800.0,23584535000.0,0.0,1388616.0
2021-06-24,2192.851,2202.907,2164.0,2164.544,-1.17,1.78,1551325200.0,19874477000.0,0.0,1239924.0
2021-06-25,2159.815,2159.864,2130.469,2149.061,-0.72,1.36,1564223000.0,18751094000.0,0.0,1199159.0
2021-06-28,2149.726,2174.014,2147.612,2168.092,0.89,1.23,1458037300.0,18872353000.0,0.0,1108870.0
2021-06-29,2162.717,2175.197,2126.736,2127.785,-1.86,2.24,1298958350.0,18519725000.0,0.0,1078184.0
2021-06-30,2132.021,2156.351,2131.628,2154.866,1.27,1.16,1203815810.0,17397650000.0,0.0,998478.0
2021-07-01,2159.282,2160.953,2090.545,2090.545,-2.98,3.27,1308903470.0,18322510000.0,0.0,1097991.0
2021-07-02,2087.723,2094.54,2069.38,2074.813,-0.75,1.2,1092889170.0,16158294000.0,0.0,1005732.0
2021-07-05,2084.647,2140.069,2084.647,2140.069,3.15,2.67,1155647230.0,17280525000.0,0.0,982234.0
2021-07-06,2141.666,2162.921,2123.194,2146.864,0.32,1.86,1636110100.0,23334653000.0,0.0,1310810.0
2021-07-07,2129.112,2149.8,2117.729,2147.836,0.05,1.49,1280567620.0,18273797000.0,0.0,1105527.0
2021-07-08,2148.886,2186.988,2148.886,2175.838,1.3,1.77,1537550900.0,21898817000.0,0.0,1317518.0
2021-07-09,2165.873,2171.644,2144.627,2167.651,-0.38,1.24,1232100640.0,19299586000.0,0.0,1140811.0
2021-07-12,2175.478,2209.287,2163.96,2196.71,1.34,2.09,1435725000.0,21443967000.0,0.0,1248569.0
2021-07-13,2196.585,2199.794,2182.954,2194.65,-0.09,0.77,1609608300.0,27694982000.0,0.0,1350519.0
2021-07-14,2190.6,2190.6,2156.715,2157.008,-1.72,1.54,1355401300.0,19996980000.0,0.0,1186117.0
2021-07-15,2148.336,2157.288,2110.028,2129.869,-1.26,2.19,1273650120.0,17377905000.0,0.0,1100575.0
2021-07-16,2129.059,2188.32,2126.49,2165.089,1.65,2.9,1399525400.0,21676085000.0,0.0,1241290.0
2021-07-19,2161.551,2174.029,2147.231,2171.661,0.3,1.24,1335301190.0,18732107000.0,0.0,1191463.0
2021-07-20,2153.972,2201.585,2151.48,2201.421,1.37,2.31,1194604830.0,18613384000.0,0.0,1108402.0
2021-07-21,2209.461,2234.856,2207.056,2230.788,1.33,1.26,1527744000.0,22889477000.0,0.0,1330042.0
2021-07-22,2231.279,2245.599,2213.796,2240.929,0.45,1.43,1572013400.0,23648577000.0,0.0,1375578.0
2021-07-23,2235.936,2243.296,2215.245,2232.384,-0.38,1.25,1729033100.0,25111395000.0,0.0,1481074.0
2021-07-26,2228.876,2260.639,2189.467,2223.289,-0.41,3.19,1759684600.0,26771025000.0,0.0,1619631.0
2021-07-27,2226.017,2280.89,2209.861,2209.861,-0.6,3.19,2027953500.0,33050345000.0,0.0,1826315.0
2021-07-28,2191.114,2193.217,2088.581,2116.833,-4.21,4.73,1719584400.0,25101001000.0,0.0,1638102.0
2021-07-29,2143.993,2207.374,2143.993,2197.861,3.83,2.99,1665143500.0,26223258000.0,0.0,1546427.0
2021-07-30,2196.791,2224.41,2184.936,2206.435,0.39,1.8,1641324000.0,26199886000.0,0.0,1590898.0
2021-08-02,2201.558,2263.748,2199.796,2263.748,2.6,2.9,1790625500.0,28901674000.0,0.0,1711706.0
2021-08-03,2258.956,2284.74,2227.781,2232.483,-1.38,2.52,1661118700.0,25854012000.0,0.0,1621204.0
2021-08-04,2228.207,2272.432,2228.184,2272.432,1.79,1.98,1464582900.0,23674236000.0,0.0,1421056.0
2021-08-05,2266.017,2316.172,2249.069,2302.962,1.34,2.95,1922096100.0,30901717000.0,0.0,1744992.0
2021-08-06,2302.221,2306.521,2277.481,2304.106,0.05,1.26,1785033800.0,25622823000.0,0.0,1569334.0
2021-08-09,2295.299,2312.456,2275.479,2299.183,-0.21,1.6,1538506100.0,23987789000.0,0.0,1495735.0
2021-08-10,2293.53,2363.841,2293.087,2353.294,2.35,3.08,1938943800.0,28556032000.0,0.0,1715800.0
2021-08-11,2353.191,2364.189,2330.832,2364.189,0.46,1.42,2026471100.0,25954285000.0,0.0,1679055.0
2021-08-12,2360.622,2381.196,2351.286,2372.328,0.34,1.27,2028705700.0,27059405000.0,0.0,1727271.0
2021-08-13,2368.788,2389.871,2356.398,2371.918,-0.02,1.41,1825496900.0,24246075000.0,0.0,1565242.0
2021-08-16,2367.4,2378.121,2348.05,2354.059,-0.75,1.27,1650183900.0,22280707000.0,0.0,1490706.0
2021-08-17,2349.094,2362.539,2298.747,2301.21,-2.25,2.71,1935247300.0,24423702000.0,0.0,1656158.0
2021-08-18,2299.731,2332.265,2290.311,2329.135,1.21,1.82,1661192300.0,21644233000.0,0.0,1430799.0
2021-08-19,2323.624,2360.338,2308.479,2347.776,0.8,2.23,1677129900.0,22763813000.0,0.0,1498598.0
2021-08-20,2338.297,2352.965,2308.508,2343.115,-0.2,1.89,1454238500.0,20728765000.0,0.0,1444862.0
2021-08-23,2344.86,2413.625,2344.86,2411.121,2.9,2.93,1805219200.0,25400630000.0,0.0,1682246.0
2021-08-24,2393.915,2402.539,2373.241,2399.374,-0.49,1.22,1837169000.0,27944667000.0,0.0,1713716.0
2021-08-25,2392.846,2404.202,2375.307,2382.476,-0.7,1.2,1425670900.0,20356165000.0,0.0,1405434.0
2021-08-26,2384.284,2399.882,2365.527,2365.829,-0.7,1.44,1752281000.0,25554292000.0,0.0,1620056.0
2021-08-27,2356.872,2356.872,2316.74,2330.987,-1.47,1.7,1590778100.0,21377490000.0,0.0,1515274.0
2021-08-30,2334.211,2380.324,2334.211,2358.755,1.19,1.98,1875374200.0,25310213000.0,0.0,1683241.0
2021-08-31,2353.06,2353.06,2316.667,2337.923,-0.88,1.54,1675262000.0,23528527000.0,0.0,1570932.0
2021-09-01,2338.181,2338.181,2285.185,2328.861,-0.39,2.27,1871449500.0,25453383000.0,0.0,1717415.0
2021-09-02,2316.376,2333.393,2298.006,2333.009,0.18,1.52,1530901000.0,19672029000.0,0.0,1397891.0
2021-09-03,2330.659,2359.545,2305.708,2326.073,-0.3,2.31,1753463500.0,22368889000.0,0.0,1522556.0
2021-09-06,2327.522,2359.303,2310.307,2359.303,1.43,2.11,1617105200.0,20517839000.0,0.0,1392510.0
2021-09-07,2353.048,2369.649,2347.272,2369.64,0.44,0.95,1601753900.0,19835093000.0,0.0,1326474.0
2021-09-08,2368.463,2382.458,2360.487,2380.76,0.47,0.93,1690538100.0,21085005000.0,0.0,1395883.0
2021-09-09,2377.03,2384.908,2355.452,2379.83,-0.04,1.24,1760535600.0,20983239000.0,0.0,1449525.0
2021-09-10,2375.455,2375.567,2349.959,2361.113,-0.79,1.08,1533474000.0,19368246000.0,0.0,1345331.0
2021-09-13,2357.285,2358.469,2336.166,2342.478,-0.79,0.94,1400505800.0,17232556000.0,0.0,1199642.0
2021-09-14,2344.361,2363.382,2318.93,2321.801,-0.88,1.9,1583898600.0,18422229000.0,0.0,1299855.0
2021-09-15,2314.607,2329.071,2304.6,2326.691,0.21,1.05,1302708800.0,15233368000.0,0.0,1065663.0
2021-09-16,2329.327,2342.509,2276.579,2276.579,-2.15,2.83,1645302700.0,17651644000.0,0.0,1307098.0
2021-09-17,2292.365,2309.263,2232.303,2266.391,-0.45,3.38,1282044470.0,15023789000.0,0.0,1146654.0
2021-09-22,2233.477,2263.789,2227.321,2261.434,-0.22,1.61,988934490.0,11686016700.0,0.0,921979.0
2021-09-23,2272.2,2293.797,2272.2,2290.843,1.3,0.96,1150643820.0,14989183000.0,0.0,1069843.0
2021-09-24,2294.199,2295.312,2245.325,2246.556,-1.93,2.18,1019020380.0,13511463000.0,0.0,985935.0
2021-09-27,2256.12,2270.1,2174.904,2197.64,-2.18,4.24,1107135290.0,13258509300.0,0.0,1045907.0
2021-09-28,2191.322,2215.449,2184.544,2207.299,0.44,1.41,758486620.0,9650002300.0,0.0,777022.0
2021-09-29,2193.74,2193.74,2131.825,2131.825,-3.42,2.81,860275630.0,10736280000.0,0.0,894742.0
2021-09-30,2144.416,2175.776,2144.416,2173.438,1.95,1.47,667650480.0,8182124700.0,0.0,737878.0
2021-10-08,2191.292,2213.467,2191.252,2213.291,1.83,1.02,848131410.0,10195838200.0,0.0,924039.0
2021-10-11,2221.97,2247.241,2204.399,2236.835,1.06,1.94,1038510600.0,13419880300.0,0.0,994622.0
2021-10-12,2228.067,2228.067,2173.346,2191.995,-2.0,2.45,1064040730.0,13212714900.0,0.0,1018271.0
2021-10-13,2193.0,2202.681,2168.853,2199.552,0.34,1.54,810073270.0,10116834300.0,0.0,830304.0
2021-10-14,2202.316,2224.864,2196.146,2219.16,0.89,1.31,869480270.0,10571108100.0,0.0,858646.0
2021-10-15,2222.254,2242.517,2215.703,2226.026,0.31,1.21,1003096900.0,13109894600.0,0.0,1023435.0
2021-10-18,2226.093,2250.077,2221.611,2249.166,1.04,1.28,933684600.0,11743551200.0,0.0,1014385.0
2021-10-19,2250.988,2267.898,2247.225,2267.1,0.8,0.92,949592230.0,11535119500.0,0.0,979191.0
2021-10-20,2270.82,2276.453,2260.431,2266.769,-0.01,0.71,922469530.0,11660527200.0,0.0,991111.0
2021-10-21,2270.542,2270.542,2241.722,2245.85,-0.92,1.27,841011740.0,11417726500.0,0.0,925814.0
2021-10-22,2255.166,2267.479,2246.843,2248.051,0.1,0.92,828012830.0,13062631300.0,0.0,949159.0
2021-10-25,2251.051,2260.52,2232.14,2260.52,0.55,1.26,952161850.0,13990379000.0,0.0,1000848.0
2021-10-26,2257.153,2265.964,2245.598,2247.468,-0.58,0.9,881718210.0,14591094000.0,0.0,1093794.0
2021-10-27,2253.071,2254.585,2199.013,2203.969,-1.94,2.47,987847830.0,13500207000.0,0.0,1116281.0
2021-10-28,2194.112,2195.091,2148.528,2152.005,-2.36,2.11,927905870.0,12661905100.0,0.0,1060469.0
2021-10-29,2153.612,2198.926,2152.524,2197.514,2.11,2.16,910670090.0,12958262300.0,0.0,1111250.0
2021-11-01,2199.045,2233.234,2191.898,2229.946,1.48,1.88,864353550.0,13318248800.0,0.0,1114986.0
2021-11-02,2236.522,2268.917,2231.509,2248.998,0.85,1.68,1364721600.0,19262389000.0,0.0,1476814.0
2021-11-03,2247.063,2259.015,2228.536,2248.95,-0.0,1.36,1014372850.0,15585945000.0,0.0,1195309.0
2021-11-04,2250.098,2281.554,2249.892,2281.554,1.45,1.41,999408000.0,15122623000.0,0.0,1104893.0
2021-11-05,2280.377,2308.437,2279.621,2285.296,0.16,1.26,1216415400.0,17395347000.0,0.0,1322317.0
2021-11-08,2282.284,2294.218,2258.466,2294.218,0.39,1.56,999228050.0,13845254000.0,0.0,1186246.0
2021-11-09,2288.288,2345.301,2287.357,2340.369,2.01,2.53,1376605500.0,19449589000.0,0.0,1426032.0
2021-11-10,2338.354,2356.556,2330.209,2356.135,0.67,1.13,1509402800.0,20152581000.0,0.0,1550334.0
2021-11-11,2349.137,2390.017,2345.909,2379.933,1.01,1.87,1305894300.0,19457780000.0,0.0,1428827.0
2021-11-12,2379.619,2447.996,2379.619,2446.826,2.81,2.87,1776206700.0,26491391000.0,0.0,1801834.0
2021-11-15,2452.095,2465.103,2440.636,2458.365,0.47,1.0,1861674900.0,28454059000.0,0.0,1865050.0
2021-11-16,2455.462,2471.935,2412.569,2414.63,-1.78,2.41,1720650800.0,25951983000.0,0.0,1983551.0
2021-11-17,2411.205,2452.523,2409.957,2452.523,1.57,1.76,1498583900.0,22361235000.0,0.0,1719490.0
2021-11-18,2453.663,2464.614,2440.127,2445.518,-0.29,1.0,1610974900.0,22155129000.0,0.0,1763397.0
2021-11-19,2442.241,2469.696,2442.241,2464.625,0.78,1.12,1481601700.0,19981599000.0,0.0,1641707.0
2021-11-22,2465.514,2507.052,2465.514,2505.646,1.66,1.69,1489555400.0,25111254000.0,0.0,1778541.0
2021-11-23,2506.188,2522.034,2501.676,2509.163,0.14,0.81,1480022500.0,21546518000.0,0.0,1739757.0
2021-11-24,2505.755,2513.035,2484.515,2492.815,-0.65,1.14,1498165300.0,21965672000.0,0.0,1704825.0
